id,name,muscle_group,equipment_type,tier_id (current id),tier_name,suggested_tier_name
fab5c70a-2c2a-44cc-a0d2-2e39cadbb756,Dumbbell Press Flye (Incline),Chest,Dumbbell,0a0a2bfe-d078-4f07-8068-ce686be7c005,medium_compound,
2e0bfa4b-e6d8-4cb0-a2da-a40ac1b1f6be,Dumbbell Row (2-Arm),Back,Dumbbell,0a0a2bfe-d078-4f07-8068-ce686be7c005,medium_compound,
e9335740-b1e1-49da-8bdd-25e2187a5152,"Dumbbell Row (Single-Arm, Supported)",Back,Dumbbell,0a0a2bfe-d078-4f07-8068-ce686be7c005,medium_compound,
e2a00e34-d733-42c2-aacc-80a57d41569d,Dumbbell Split Squat,Glutes,Dumbbell,42e7b381-1398-4b6a-9e85-569eca1504f1,large_compound,
42d34e9a-ae23-4693-a1b0-b8f68d6d6d09,Dumbbell Upright Row,Shoulders,Dumbbell,0a0a2bfe-d078-4f07-8068-ce686be7c005,medium_compound,
99b70b17-d94b-47b6-bead-baea19e87e2e,Ez Bar Curl (Narrow Grip),Biceps,Barbell,0a0a2bfe-d078-4f07-8068-ce686be7c005,medium_compound,small_isolation
c23bdbe3-d3fe-468e-bbe6-1d92452b2fc6,Front Foot Elevated Smith Lunge,Glutes,Smith Machine,0a0a2bfe-d078-4f07-8068-ce686be7c005,medium_compound,
36f8b3ec-1d47-41d1-9528-7ee6aaf04b8f,Front Foot Elevated Split Squat,Glutes,Dumbbell,42e7b381-1398-4b6a-9e85-569eca1504f1,large_compound,
9d70cd6c-c570-4b75-92ca-9bb72f6c34fa,Front Squat (Olympic),Olympic Lifts,Barbell,42e7b381-1398-4b6a-9e85-569eca1504f1,large_compound,
782a1637-0587-45a8-8623-932f7006e70f,Glute Ham Raise (GHD),Hamstrings,Bodyweight Only,5eb8c42b-07e3-4f61-8ca8-6dd3d94adbe2,large_isolation,
4050abc4-f3ec-49d2-8d67-415618b13b57,Hang Clean,Olympic Lifts,Barbell,0a0a2bfe-d078-4f07-8068-ce686be7c005,medium_compound,large_compound
33d1ea5a-262b-49df-b1c7-3b04dee8d054,Hang Power Clean,Olympic Lifts,Barbell,0a0a2bfe-d078-4f07-8068-ce686be7c005,medium_compound,large_compound
d594d24b-4e41-4277-a1d5-f728158a4101,Hang Power Snatch,Olympic Lifts,Barbell,0a0a2bfe-d078-4f07-8068-ce686be7c005,medium_compound,large_compound
2c10f143-6eb9-4084-8aeb-0b428890a99c,Hang Snatch,Olympic Lifts,Barbell,0a0a2bfe-d078-4f07-8068-ce686be7c005,medium_compound,large_compound
c8a6cf89-3233-4877-bd6a-31c095dfc5d8,Hanging Knee Raise,Abs,Bodyweight Only,15e55e93-3a3d-4aef-af47-22e2e44eb07c,small_isolation,
f1f3db4c-e00d-4443-8428-73081a65203e,High Pull,Olympic Lifts,Barbell,5eb8c42b-07e3-4f61-8ca8-6dd3d94adbe2,large_isolation,
fb5146d3-a62c-49a2-b1b9-034a77491267,High Pull (Snatch Grip),Olympic Lifts,Barbell,0a0a2bfe-d078-4f07-8068-ce686be7c005,medium_compound,large_compound
83fccbc1-098d-4f23-bf40-1a81545bc7a1,Hip Abduction Machine,Glutes,Machine,15e55e93-3a3d-4aef-af47-22e2e44eb07c,small_isolation,small_compound
0bbbf733-fb93-4c0d-a84f-c0b393e6981a,Inverted Row,Back,Bodyweight Only,0a0a2bfe-d078-4f07-8068-ce686be7c005,medium_compound,
722fa30b-8302-4f30-9673-d01569dcbc3b,Landmine Row,Back,Barbell,0a0a2bfe-d078-4f07-8068-ce686be7c005,medium_compound,
61a17569-d608-477f-b754-9e234cd268cf,Lat Pulldown (Narrow Grip),Back,Cable,0a0a2bfe-d078-4f07-8068-ce686be7c005,medium_compound,
3ac66e9a-7999-4851-a28f-79e39d47eb83,Leg Extension,Quads,Machine,5eb8c42b-07e3-4f61-8ca8-6dd3d94adbe2,large_isolation,
ffea652a-37ce-44ca-aec1-797890f26d54,Leg Press,Quads,Machine,42e7b381-1398-4b6a-9e85-569eca1504f1,large_compound,
26f7e0b9-cd66-4999-aee8-1333425868a3,Leg Press Calves,Calves,Machine,42e7b381-1398-4b6a-9e85-569eca1504f1,large_compound,small_compound
bc091a8d-0c63-4c16-84be-edd100bfe8dd,Lying Leg Curl,Hamstrings,Machine,5eb8c42b-07e3-4f61-8ca8-6dd3d94adbe2,large_isolation,
41d7bcac-282e-444c-8ffb-392977a648bf,Machine Chest Press,Chest,Machine,0a0a2bfe-d078-4f07-8068-ce686be7c005,medium_compound,
9ca750ee-63b4-4b7c-9b66-41d4f639e84d,Machine Chest Press (Incline),Chest,Machine,0a0a2bfe-d078-4f07-8068-ce686be7c005,medium_compound,
c740f6bd-c17a-4b5f-8cf5-25178de63b63,Machine Crunch,Abs,Machine,5eb8c42b-07e3-4f61-8ca8-6dd3d94adbe2,large_isolation,small_isolation
d498fa5c-e134-4be0-87cb-81ae278d2574,Machine Dips,Triceps,Machine,2c29ad91-9826-4f7b-83b5-e21d6c8daf88,small_compound,medium_compound
9939117d-0ea6-4efc-9a1f-bc0b8251ad88,Machine Flye,Chest,Machine,15e55e93-3a3d-4aef-af47-22e2e44eb07c,small_isolation,medium_compound
8cf66105-506f-4a1f-a7ef-06cf7cdec810,Machine Glute Kickback,Glutes,Machine,5eb8c42b-07e3-4f61-8ca8-6dd3d94adbe2,large_isolation,medium_compound
b16b8ea0-eec1-4e82-9b37-373cf8391554,Machine Hip Thrust,Glutes,Machine,5eb8c42b-07e3-4f61-8ca8-6dd3d94adbe2,large_isolation,
5e209c4f-0860-451a-b153-072e5699a34f,Machine Lateral Raise,Shoulders,Machine,15e55e93-3a3d-4aef-af47-22e2e44eb07c,small_isolation,small_isolation
9ede0ea4-9672-475d-8cd9-202e31b953bc,Machine Preacher Curl,Biceps,Machine,15e55e93-3a3d-4aef-af47-22e2e44eb07c,small_isolation,small_isolation
7a3eb6e2-878a-444a-a53a-cc0c5e74c0d8,Machine Preacher Curl (Single Arm),Biceps,Machine,15e55e93-3a3d-4aef-af47-22e2e44eb07c,small_isolation,small_isolation
d8cf9084-696c-4e17-abe4-323d231440fb,Machine Pullover,Back,Machine,5eb8c42b-07e3-4f61-8ca8-6dd3d94adbe2,large_isolation,medium_compound
efc87524-77a4-428b-b726-47e70cddff6d,Machine Reverse Flye,Shoulders,Machine,15e55e93-3a3d-4aef-af47-22e2e44eb07c,small_isolation,small_compound
be91fd1d-e18e-4c2d-8ec6-5516eafd9ca8,Machine Shrug,Traps,Machine,5eb8c42b-07e3-4f61-8ca8-6dd3d94adbe2,large_isolation,small_compound
a16ff58d-90c0-44d5-9e5a-855bdf2b6fce,Machine Triceps Extension,Triceps,Machine,15e55e93-3a3d-4aef-af47-22e2e44eb07c,small_isolation,
3ce47dba-ac12-4efb-9dc9-221b6ba653bd,Machine Triceps Pushdown,Triceps,Machine,15e55e93-3a3d-4aef-af47-22e2e44eb07c,small_isolation,
7cb68ba6-0322-4a1f-8ecc-b857245c14a3,Muscle Clean,Olympic Lifts,Barbell,0a0a2bfe-d078-4f07-8068-ce686be7c005,medium_compound,large_compound
13a103a5-a021-4515-bd36-adb43271bb53,Muscle Snatch,Olympic Lifts,Barbell,0a0a2bfe-d078-4f07-8068-ce686be7c005,medium_compound,large_compound
7307a63e-814a-48f0-9b15-23b2a6387d95,Nordic Curl,Hamstrings,Bodyweight Only,15e55e93-3a3d-4aef-af47-22e2e44eb07c,small_isolation,
805b0e79-a2b2-4723-bbd7-f15bd02f738d,Nordic Ham Curls (GHD),Hamstrings,Bodyweight Loadable,15e55e93-3a3d-4aef-af47-22e2e44eb07c,small_isolation,
2032edc2-8f34-4770-bb5e-06b9acb0c3e6,Overhead Squat,Olympic Lifts,Barbell,42e7b381-1398-4b6a-9e85-569eca1504f1,large_compound,
af62f9c3-9718-4c88-8a90-29c6a1eee8e9,Pec Dec Flye,Chest,Machine,15e55e93-3a3d-4aef-af47-22e2e44eb07c,small_isolation,
6713eab9-d828-410f-bca9-476549a120c4,Power Clean,Olympic Lifts,Barbell,0a0a2bfe-d078-4f07-8068-ce686be7c005,medium_compound,large_compound
bfaf93c9-1c85-45c0-af05-8161e910a480,Power Snatch,Olympic Lifts,Barbell,0a0a2bfe-d078-4f07-8068-ce686be7c005,medium_compound,large_compound
5d7e1db3-1880-41e5-af4c-002c2d158cba,Pullup (Neutral Grip),Back,Bodyweight Only,5eb8c42b-07e3-4f61-8ca8-6dd3d94adbe2,large_isolation,large_compound
9105b309-da43-4fbb-b88b-77db9ee8eeae,Pullup (Normal Grip),Back,Bodyweight Only,5eb8c42b-07e3-4f61-8ca8-6dd3d94adbe2,large_isolation,large_compound
7ec2b431-709b-4ec7-8288-8aebc4ef52b0,Pullup (Underhand Grip),Back,Bodyweight Only,5eb8c42b-07e3-4f61-8ca8-6dd3d94adbe2,large_isolation,large_compound
21b35e85-2287-4203-819d-6d8d5b61324f,"Pullup (Weighted, Neutral Grip)",Back,Bodyweight Loadable,5eb8c42b-07e3-4f61-8ca8-6dd3d94adbe2,large_isolation,large_compound
dcaeaf07-c303-460c-9430-f8518531f0be,"Pullup (Weighted, Normal Grip)",Back,Bodyweight Loadable,5eb8c42b-07e3-4f61-8ca8-6dd3d94adbe2,large_isolation,large_compound
f613638c-e033-4ff7-9fe2-96628a9d1295,"Pullup (Weighted, Underhand Grip)",Back,Bodyweight Loadable,5eb8c42b-07e3-4f61-8ca8-6dd3d94adbe2,large_isolation,large_compound
ec9aba4c-c99a-4d06-9081-61f3a671f0da,Pushup,Chest,Bodyweight Only,5eb8c42b-07e3-4f61-8ca8-6dd3d94adbe2,large_isolation,medium_compound
0f95008b-ef6f-41ec-8699-9ea9041f8de0,Pushup (Deficit),Chest,Bodyweight Only,5eb8c42b-07e3-4f61-8ca8-6dd3d94adbe2,large_isolation,medium_compound
8d6d447d-bb33-4c73-ad2f-4c2d24181400,Pushup (Narrow Grip),Chest,Bodyweight Only,0a0a2bfe-d078-4f07-8068-ce686be7c005,medium_compound,medium_compound
